id,lat,lon,name,amenity,cuisine
683577247,33.6310401,-117.9255554,"Carl's Jr.",fast_food,burger
683577257,33.6367983,-117.9214912,"Juice It Up",fast_food,juice
683577260,33.6404817,-117.9199841,Subway,fast_food,deli
683929285,33.6148432,-117.9272537,"Cannery Restaurant",restaurant,seafood
683929317,33.6141807,-117.9262196,"Bluewater Grill",restaurant,seafood
684631531,33.6215906,-117.9278024,"A Restaurant",restaurant,steak;seafood
692180041,34.2159416,-119.0058689,"McDonald's",fast_food,burger
692181424,34.2159505,-119.0043454,"Starbucks Coffee",cafe,coffee_shop
693974663,33.6017765,-117.8993013,"The Shorehouse Cafe",restaurant,american
694070329,33.6095651,-117.9277769,"The Old Spaghetti Factory",restaurant,italian
694070331,33.6099918,-117.9280958,"The Crab Cooker",restaurant,seafood
694070334,33.6112655,-117.9282959,"Woody's Wharf",restaurant,seafood
694070339,33.6114831,-117.9283322,Ten,restaurant,sushi;steak;japanese
694070341,33.6130637,-117.9288166,"Avila's El Ranchito",restaurant,mexican
695036941,33.6214011,-117.9338529,"Royal Thai Cuisine",restaurant,thai
695080083,33.6093424,-117.9286911,"Original Pizza",restaurant,pizza
695099329,33.6130699,-117.9294499,"McDonald's",fast_food,burger
698066194,33.6571168,-118.0013742,Subway,fast_food,deli
699627460,33.7182606,-118.07035,"Captain Jack's",restaurant,seafood;steak
699627471,33.7254614,-118.079026,"Don The Beachcomber",restaurant,hawaiian
700431393,33.7573294,-118.1095781,"California Pizza Kitchen",restaurant,italian
701686403,33.5288672,-117.1555337,"Earth Bistro",restaurant,pizza
703647815,33.7901126,-118.188888,"McDonald's",fast_food,burger
703647863,33.79013,-118.1907443,KFC,fast_food,chicken
703900128,33.7896307,-118.1766029,"Jack in the Box",fast_food,burger
704354557,33.7873567,-118.1395522,"Burger King",fast_food,burger
704354574,33.7759785,-118.1239311,"Denny's Diner",restaurant,american
705672147,33.7456599,-118.1053655,"McDonald's",fast_food,burger
705672171,33.7454555,-118.1051268,"Taco Bell / Pizza Hut Express",fast_food,mexican;pizza
705742813,33.7419674,-118.0984172,"Mahé",restaurant,seafood;sushi;steak
705806893,33.7176034,-118.0703608,"Harpoon Harry's",restaurant,steak;seafood
708330300,33.7239425,-118.0771768,"Woody's Diner",restaurant,american
708330345,33.7194441,-118.072435,"Sunset Pizza - Pasta",restaurant,italian
708330383,33.7117678,-118.0635403,"Jack in the Box",fast_food,burger
708330414,33.7169027,-118.0695529,"Gyro Kabob",fast_food,greek;burger
708487459,33.709063,-118.0615185,"Bolsa Chica Grill",fast_food,burger;mexican
708715376,33.6565551,-118.0021879,Chimayo,restaurant,seafood;california
708715403,33.657689,-118.0024462,"Johnny Rocket's",fast_food,burger
708715440,33.6558526,-117.9997223,"Dairy Queen",fast_food,burger
708715480,33.656632,-118.0020976,"Duke's",restaurant,steak;seafood
709966566,33.628544,-117.952466,"Newport Burgers",fast_food,burger;american
709995661,33.6208183,-117.9268286,"Villa Nova",restaurant,italian
710109376,33.6207332,-117.9245234,"China Palace",restaurant,chinese;sushi
710109505,33.6196288,-117.924471,"Rusty Pelican",restaurant,seafood
710109509,33.6199989,-117.925032,Charthouse,restaurant,seafood
710109512,33.6192036,-117.9235634,"Joe's Crab Shack",restaurant,seafood
710109519,33.6198731,-117.924678,"Billy's at the Beach",restaurant,seafood;steak;hawaiian
711017003,33.6166352,-117.915319,"Taco Bell / Pizza Hut Express",fast_food,mexican;pizza
711434829,33.6158067,-117.9001371,Subway,fast_food,deli
711756990,33.5954654,-117.8694843,"Coco's",restaurant,american
711757027,33.5991449,-117.8723213,KFC,fast_food,chicken
711757095,33.6035344,-117.8738362,Oysters,restaurant,seafood
711757154,33.5983124,-117.8726102,Subway,fast_food,deli
711757166,33.5965388,-117.8714255,Bandera,restaurant,steak;seafood
711757344,33.6041651,-117.8743534,"Rothschild's",restaurant,italian
711757371,33.6038654,-117.8740679,"The Bungalow",restaurant,steak;seafood
712119032,34.056299,-117.188524,"New York Pizza of Redlands",fast_food,pizza
712801043,33.542246,-117.783592,"BJ's",restaurant,american
712801049,33.5337822,-117.7769147,"Wahoo's Fish Tacos",restaurant,mexican
712801056,33.5329817,-117.7763811,"Jack in the Box",fast_food,burger
721468122,33.5016165,-117.7440174,"Ti Amo Ristorante",restaurant,italian
721668200,34.1021917,-118.1068741,"Newport Seafood 新港",restaurant,seafood
721668686,34.1022427,-118.1102068,Phoenix,restaurant,chinese
721903174,33.4654133,-117.7019527,"Shwack Beach Grill",restaurant,burger
722408022,33.4259355,-117.6153166,"Avila's El Ranchito",restaurant,mexican
728347779,33.5321589,-117.774995,Subway,fast_food,deli
734073380,34.0808384,-118.0904254,"Yunnan 168",restaurant,chinese
734166735,34.0312307,-118.1287307,"La Costa",restaurant,mexican;steak;seafood
734166843,34.0152421,-118.1295303,"Jack in the Box",fast_food,burger
738206161,34.0787535,-118.1232006,"The Hat",fast_food,deli
738235170,34.1057519,-118.134383,"Z Sushi",restaurant,sushi;california
738330640,34.1135498,-118.1235345,"Colonial Kitchen",restaurant,american
740421465,34.0752635,-118.0727586,"Ono Hawaiian BBQ",fast_food,hawaiian
740421737,34.1038745,-118.0738768,"Applebee's",restaurant,american
747641206,34.0330968,-117.5752605,"Jack in the Box",fast_food,burger
754619937,33.6746863,-117.7578095,"Tia Juana's",restaurant,mexican
754619947,33.6761332,-117.7591511,Knowlwood,restaurant,burger
754620078,33.6763242,-117.7589422,"Denny's",restaurant,american
754620124,33.6762978,-117.7580128,"Jack in the Box",fast_food,burger
760764987,33.6545593,-117.7024937,"El Pollo Loco",fast_food,chicken
762320544,34.2045281,-118.2222669,"Burger King",fast_food,burger
762899568,33.6186413,-117.7021578,"Habit Burger Grill",restaurant,burger
763014428,33.6201536,-117.7005589,"Wahoo's Fish Taco",restaurant,mexican
763985304,33.4144781,-117.6001121,"Pedro's Tacos",fast_food,mexican
763985332,33.4142218,-117.6000904,"Sugarshack Cafe",restaurant,american
764082266,33.4667494,-117.7014253,"Aurora's Taqueria",restaurant,mexican
764082267,33.4671368,-117.694382,"Carlos Mexican Restaurant",restaurant,mexican
764082272,33.4656281,-117.690685,Subway,fast_food,deli
764895956,33.5423946,-117.6922696,"Wendy's",fast_food,burger
764896014,33.5537311,-117.6857603,Chick-fil-A,fast_food,chicken
764896187,33.5229391,-117.7138085,"Domino's Pizza",fast_food,pizza
764924244,33.562525,-117.6573643,"Baja Fresh",fast_food,mexican
764946406,33.5632245,-117.6469824,"Burger King",fast_food,burger
765310524,33.5622067,-117.6290356,"McDonald's",fast_food,burger
765405320,33.5616114,-117.6283626,Subway,fast_food,deli
765405325,33.563448,-117.6287243,"Corky's Kitchen & Bakery",restaurant,american
765405338,33.5616634,-117.6283372,"Baskin Robbins 31",fast_food,ice_cream
765405341,33.5615421,-117.6283788,"Pizza Hut",fast_food,pizza
765405349,33.5618944,-117.6281855,"Panda Express",fast_food,chinese
769257482,34.1976486,-118.8693035,"Carl's Jr.",fast_food,burger
769421458,34.0565833,-117.1762207,"Cuca's",fast_food,mexican
771500537,34.0628306,-118.1002656,"Mien Nghia noodle express",restaurant,vietnamese
771567704,34.0654396,-118.0907589,"Pupusas Y Mas",restaurant,mexican
775332402,34.0796683,-117.5760841,"Farmer Boys",fast_food,burger
775345953,34.106925,-117.5593702,"McDonald's",fast_food,burger
775860584,34.1601678,-118.8222421,"Macaroni Grill",restaurant,italian
781736953,34.0076568,-118.1591677,"Stevens Steak House",restaurant,steak;seafood
789325453,33.52677,-117.7169442,"Starbucks Coffee",cafe,coffee_shop
790574581,33.4908795,-117.6983226,"Round Table Pizza",restaurant,pizza
790574750,33.4908905,-117.6985581,"Pick Up Stix",restaurant,chinese
790574916,33.490878,-117.6991091,"El Pollo Loco / Foster's Freeze",fast_food,chicken;ice_cream
791006037,33.5233727,-117.6861637,"McDonald's",fast_food,burger
792072033,34.1069063,-117.5618255,"Juice It Up!",fast_food,juice
792072034,34.1068346,-117.5617483,Blimpie,fast_food,deli
792212780,33.4602412,-117.6917927,"Jolly Roger",restaurant,american
792307924,33.5006222,-117.6596551,"Arby's",fast_food,deli
792308284,33.5010006,-117.6595978,"Del Taco",fast_food,mexican
793835036,33.6183189,-117.7021218,"Jamba Juice",fast_food,juice
794148172,33.6086184,-117.7316383,Subway,fast_food,deli
796698740,33.5593735,-117.7248652,"Aliso Coffee & Donut",cafe,donut
796698904,33.5579933,-117.7237897,"Jack in the Box",fast_food,burger
803014308,34.0622798,-118.1313741,"Sam Woo BBQ Restaurant",restaurant,chinese
803014310,34.0622821,-118.1293007,"L.Y.L. Garden Seafood Restaurant",restaurant,chinese
806317296,34.1061874,-117.568838,"Chipotle Mexican Grill",fast_food,mexican
806649044,34.0941377,-118.2084689,"Jack in the Box",fast_food,burger
806649053,34.09584,-118.2080524,Subway,fast_food,deli
819629581,33.844413,-117.5371576,"Tommy's",fast_food,burger
819629586,33.8440313,-117.5364957,In-N-Out,fast_food,burger
820215421,33.8136737,-117.5073322,"TGI Friday's",restaurant,american
820215827,33.8149785,-117.5096546,"Miguel's California Mexican Cocina",restaurant,mexican
820215987,33.8141451,-117.5085559,Taps,restaurant,seafood;brewpub
820277693,33.8349384,-117.5217334,"Don Pepe's Mexican Cafe and Cantina",restaurant,mexican
820709760,33.7783845,-117.4867856,"Big Al's Subs",fast_food,deli
821384821,34.0302951,-118.4615121,"Stefan's at LA Farm",restaurant,regional
